ID;Title;URI;Erfasst
135615;PowerBI-Spezialist (m/w/d);https://jobs.rossmann.de/stellenanzeige/powerbi-spezialist-m-w-d-am-standort-burgwedel-6-135615.html;2024-10-02
135562;Systemadministrator (m/w/d) Applikationen;https://jobs.rossmann.de/stellenanzeige/systemadministrator-m-w-d-applikationen-am-standort-burgwedel-6-135562.html;2024-10-02
135561;Kaufmännischer Sachbearbeiter (m/w/d) Wertstoffmanagement;https://jobs.rossmann.de/stellenanzeige/kaufmaennischer-sachbearbeiter-m-w-d-wertstoffmanagement-am-standort-burgwedel-4-135561.html;2024-10-02
135527;Entwickler Microsoft Dynamics 365 Business Central / AL (m/w/d);https://jobs.rossmann.de/stellenanzeige/entwickler-microsoft-dynamics-365-business-central-al-m-w-d-am-standort-burgwedel-6-135527.html;2024-10-02
135418;Programm Manager (m/w/d);https://jobs.rossmann.de/stellenanzeige/programm-manager-m-w-d-am-standort-burgwedel-6-135418.html;2024-10-02
135121;Junior Logistics Expert (m/w/d) Compliance;https://jobs.rossmann.de/stellenanzeige/junior-logistics-expert-m-w-d-compliance-am-standort-burgwedel-2-135121.html;2024-10-02
135117;Fullstack Developer Microsoft Azure (m/w/d) AI Chatbot;https://jobs.rossmann.de/stellenanzeige/fullstack-developer-microsoft-azure-m-w-d-ai-chatbot-am-standort-burgwedel-6-135117.html;2024-10-02
135068;MLOps Ingenieur (m/w/d);https://jobs.rossmann.de/stellenanzeige/mlops-ingenieur-m-w-d-am-standort-burgwedel-6-135068.html;2024-10-02
134846;Cybersecurity Consultant (m/w/d);https://jobs.rossmann.de/stellenanzeige/cybersecurity-consultant-m-w-d-am-standort-burgwedel-6-134846.html;2024-10-02
134295;ServiceNow Architekt (m/w/d);https://jobs.rossmann.de/stellenanzeige/servicenow-architekt-m-w-d-am-standort-burgwedel-6-134295.html;2024-10-02
134293;ServiceNow Entwickler (m/w/d);https://jobs.rossmann.de/stellenanzeige/servicenow-entwickler-m-w-d-am-standort-burgwedel-6-134293.html;2024-10-02
134317;Business Analyst (m/w/d) für unser CRM;https://jobs.rossmann.de/stellenanzeige/business-analyst-m-w-d-fuer-unser-crm-am-standort-burgwedel-6-134317.html;2024-10-02
134256;Business Analyst (m/w/d) ServiceNow ITSM/ITOM/ITAM;https://jobs.rossmann.de/stellenanzeige/business-analyst-m-w-d-servicenow-itsm-itom-itam-am-standort-burgwedel-6-134256.html;2024-10-02
134089;Business Analyst | Projektentwickler | Enabler (m/w/d)  ROSSMANN-Online mit Schwerpunkt Agile Entwicklung;https://jobs.rossmann.de/stellenanzeige/business-analyst-projektentwickler-enabler-m-w-d-rossmann-online-mit-schwerpunkt-agile-entwicklung-am-standort-burgwedel-6-134089.html;2024-10-02
133693;Enterprise Architekt (m/w/d);https://jobs.rossmann.de/stellenanzeige/enterprise-architekt-m-w-d-am-standort-burgwedel-6-133693.html;2024-10-02
133702;Citrix-Administrator (m/w/d);https://jobs.rossmann.de/stellenanzeige/citrix-administrator-m-w-d-am-standort-burgwedel-6-133702.html;2024-10-02
133493;IT Provider Manager (m/w/d);https://jobs.rossmann.de/stellenanzeige/it-provider-manager-m-w-d-am-standort-burgwedel-6-133493.html;2024-10-02
133378;RPA Citizen Developer/ Softwareentwickler (m/w/d);https://jobs.rossmann.de/stellenanzeige/rpa-citizen-developer-softwareentwickler-m-w-d-am-standort-burgwedel-6-133378.html;2024-10-02
133276;MDM Administrator (m/w/d) für Android Geräte im Clientmanagement;https://jobs.rossmann.de/stellenanzeige/mdm-administrator-m-w-d-fuer-android-geraete-im-clientmanagement-am-standort-burgwedel-6-133276.html;2024-10-02
133272;Systemanalytiker (m/w/d) POS International;https://jobs.rossmann.de/stellenanzeige/systemanalytiker-m-w-d-pos-international-am-standort-burgwedel-6-133272.html;2024-10-02
132568;Prozessmanager (m/w/d) Innenrevision Unternehmenszentrale;https://jobs.rossmann.de/stellenanzeige/prozessmanager-m-w-d-innenrevision-unternehmenszentrale-am-standort-burgwedel-11-132568.html;2024-10-02
132419;Business Analyst (m/w/d);https://jobs.rossmann.de/stellenanzeige/business-analyst-m-w-d-am-standort-burgwedel-6-132419.html;2024-10-02
132039;Scrum Master (m/w/d) für unsere agile Softwareentwicklung;https://jobs.rossmann.de/stellenanzeige/scrum-master-m-w-d-fuer-unsere-agile-softwareentwicklung-am-standort-burgwedel-6-132039.html;2024-10-02
131642;Anlagentechniker SPS/ Elektroniker/Mechatroniker (m/w/d);https://jobs.rossmann.de/stellenanzeige/anlagentechniker-sps-elektroniker-mechatroniker-m-w-d-am-standort-landsberg-2-131642.html;2024-10-02
131123;Junior Expansionsmanager/Projektentwickler (m/w/d) Außendienst;https://jobs.rossmann.de/stellenanzeige/junior-expansionsmanager-projektentwickler-m-w-d-aussendienst-ohne-standort-5-131123.html;2024-10-02
128740;IT System Engineer (m/w/d) für Backup & Recovery;https://jobs.rossmann.de/stellenanzeige/it-system-engineer-m-w-d-fuer-backup-recovery-am-standort-burgwedel-6-128740.html;2024-10-02
128608;Microsoft 365 Solutions Engineer (m/w/d);https://jobs.rossmann.de/stellenanzeige/microsoft-365-solutions-engineer-m-w-d-am-standort-burgwedel-6-128608.html;2024-10-02
128515;Microsoft 365 Engineer (m/w/d);https://jobs.rossmann.de/stellenanzeige/microsoft-365-engineer-m-w-d-am-standort-burgwedel-6-128515.html;2024-10-02
128097;Senior WLAN-Administrator (m/w/d);https://jobs.rossmann.de/stellenanzeige/senior-wlan-administrator-m-w-d-am-standort-burgwedel-6-128097.html;2024-10-02
128095;Senior Netzwerkadministrator (m/w/d);https://jobs.rossmann.de/stellenanzeige/senior-netzwerkadministrator-m-w-d-am-standort-burgwedel-6-128095.html;2024-10-02
128093;Systemadministrator (m/w/d) Netzwerkdienste;https://jobs.rossmann.de/stellenanzeige/systemadministrator-m-w-d-netzwerkdienste-am-standort-burgwedel-6-128093.html;2024-10-02
127532;Datenbankadministrator (m/w/d) mit Schwerpunkt DB2 und Oracle;https://jobs.rossmann.de/stellenanzeige/datenbankadministrator-m-w-d-mit-schwerpunkt-db2-und-oracle-am-standort-burgwedel-6-127532.html;2024-10-02
125666;Business Analyst (m/w/d) für die ROSSMANN-App;https://jobs.rossmann.de/stellenanzeige/business-analyst-m-w-d-fuer-die-rossmann-app-am-standort-burgwedel-6-125666.html;2024-10-02
120881;Security Engineer (m/w/d) Detection & Response;https://jobs.rossmann.de/stellenanzeige/security-engineer-m-w-d-detection-response-am-standort-burgwedel-6-120881.html;2024-10-02
